CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Segment,Churn_Risk
12346,326,1,77183.5971689224,1,1,5,7,Need Attention,High
12347,2,7,4309.999987721444,5,5,5,15,Champions,Low
12348,75,4,1797.2399966716775,2,4,4,10,Need Attention,Low
12349,19,1,1757.5499940514562,4,1,4,9,Potential Loyalists,Low
12350,310,1,334.3999965190887,1,1,2,4,Lost Customers,High
12352,36,8,2506.0399792194366,3,5,5,13,Need Attention,Low
12353,204,1,88.9999995231628,1,1,1,3,Lost Customers,High
12354,232,1,1079.400008440018,1,1,4,6,Lost Customers,High
12355,214,1,459.399998664856,1,1,2,4,Lost Customers,High
12356,23,3,2811.4299854040146,4,3,5,12,Need Attention,Low
12357,33,1,6207.669989347458,4,1,5,10,Need Attention,Low
12358,2,2,1168.059973716735,5,2,4,11,Potential Loyalists,Low
12359,58,4,6310.029966294765,3,4,5,12,Need Attention,Low
12360,52,3,2662.0600061416626,3,3,5,11,Need Attention,Low
12361,287,1,189.9000012874603,1,1,1,3,Lost Customers,High
12362,3,10,5226.230000317096,5,5,5,15,Champions,Low
12363,110,2,552.0000078678132,2,2,3,7,Lost Customers,Medium
12364,8,4,1313.1000023782262,5,4,4,13,Potential Loyalists,Low
12365,291,2,641.3800052404401,1,2,3,6,Lost Customers,High
12367,4,1,168.90000057220468,5,1,1,7,Potential Loyalists,Low
12370,51,4,3541.9399975538254,3,4,5,12,Need Attention,Low
12371,45,2,1887.9599884748459,3,2,4,9,Need Attention,Low
12372,72,3,1298.0399992465977,3,3,4,10,Need Attention,Low
12373,311,1,364.600004196167,1,1,2,4,Lost Customers,High
12374,25,1,742.9300024509428,4,1,3,8,Potential Loyalists,Low
12375,11,2,457.49999117851223,5,2,2,9,Potential Loyalists,Low
12377,315,2,1628.1199877262118,1,2,4,7,Need Attention,High
12378,130,1,4008.6199876964088,2,1,5,8,Need Attention,Medium
12379,82,2,852.2399981021878,2,2,3,7,Need Attention,Low
12380,22,4,2724.8099776506415,4,4,5,13,Need Attention,Low
12381,5,5,1845.3099927008154,5,4,4,13,Champions,Low
12383,185,5,1850.5599970817568,1,4,4,9,Need Attention,High
12384,29,2,585.2699937820433,4,2,3,9,Potential Loyalists,Low
12386,338,2,401.9000010490417,1,2,2,5,Lost Customers,High
12388,16,6,2780.659991502762,4,4,5,13,Champions,Low
12390,80,1,549.8399973511696,2,1,3,6,Lost Customers,Low
12391,22,1,439.6599987447263,4,1,2,7,Potential Loyalists,Low
12393,72,4,1582.5999972820277,3,4,4,11,Need Attention,Low
12394,64,2,1272.48000574112,3,2,4,9,Need Attention,Low
12395,19,12,3018.6300103664403,4,5,5,14,Champions,Low
12397,36,2,2409.8999956846233,3,2,5,10,Need Attention,Low
12398,46,1,1635.6599972546103,3,1,4,8,Need Attention,Low
12399,119,4,1108.6499971151354,2,4,4,10,Need Attention,Medium
12401,303,1,84.2999992370605,1,1,1,3,Lost Customers,High
12402,323,1,225.60000395774864,1,1,1,3,Lost Customers,High
12403,50,1,427.70000839233387,3,1,2,6,Lost Customers,Low
12405,149,1,1710.3899877071378,2,1,4,7,Need Attention,Medium
12406,22,2,3415.3000012636194,4,2,5,11,Need Attention,Low
12407,50,5,1708.119993656874,3,4,4,11,Need Attention,Low
12408,33,5,2888.5499933958063,4,4,5,13,Need Attention,Low
12409,79,3,11072.67000037432,2,3,5,10,Need Attention,Low
12410,309,2,693.3299987316132,1,2,3,6,Lost Customers,High
12412,75,3,1226.879997253418,2,3,4,9,Need Attention,Low
12413,67,3,758.0999939441681,3,3,3,9,Need Attention,Low
12414,217,3,562.4099891781806,1,3,3,7,Lost Customers,High
12415,24,21,124914.53013676406,4,5,5,14,Champions,Low
12417,3,9,3649.099994033576,5,5,5,15,Champions,Low
12418,113,1,668.5799892246725,2,1,3,6,Lost Customers,Medium
12420,64,1,600.3899936676022,3,1,3,7,Lost Customers,Low
12421,16,4,807.0399954318999,4,4,3,11,Potential Loyalists,Low
12422,96,3,803.5600004196166,2,3,3,8,Need Attention,Medium
12423,1,8,1859.3099961280825,5,5,4,14,Champions,Low
12424,163,2,1760.9599847793577,2,2,4,8,Need Attention,Medium
12425,78,1,777.1999943256376,2,1,3,6,Lost Customers,Low
12426,195,1,582.7299995794892,1,1,3,5,Lost Customers,High
12427,22,3,825.799994468689,4,3,3,10,Potential Loyalists,Low
12428,26,9,7956.459963530302,4,5,5,14,Champions,Low
12429,9,4,3750.3999910354614,5,4,5,14,Champions,Low
12430,43,1,256.39999628067017,3,1,2,6,Lost Customers,Low
12431,36,15,6419.949969351291,3,5,5,13,Champions,Low
12432,43,5,5059.319977164269,3,4,5,12,Need Attention,Low
12433,1,7,13375.869884997608,5,5,5,15,Champions,Low
12434,85,2,806.1399933099746,2,2,3,7,Need Attention,Low
12435,80,2,7829.889964103703,2,2,5,9,Need Attention,Low
12436,100,1,509.00999450683594,2,1,3,6,Lost Customers,Medium
12437,2,18,4951.40998184681,5,5,5,15,Champions,Low
12438,14,2,2906.849995017051,4,2,5,11,Need Attention,Low
12441,367,1,173.5500006377699,1,1,1,3,Lost Customers,High
12442,3,1,172.05999961495408,5,1,1,7,Potential Loyalists,Low
12444,21,5,5005.45999288559,4,4,5,13,Champions,Low
12445,22,1,133.4000005722046,4,1,1,6,Potential Loyalists,Low
12446,58,1,1002.3099929094311,3,1,4,8,Lost Customers,Low
12447,243,1,476.48999786376964,1,1,2,4,Lost Customers,High
12448,44,1,449.4499990940094,3,1,2,6,Lost Customers,Low
12449,22,4,4067.289998412132,4,4,5,13,Need Attention,Low
12450,156,2,197.8799967765809,2,2,1,5,Lost Customers,Medium
12451,11,5,9035.519972085953,5,4,5,14,Champions,Low
12452,17,2,430.5699987411498,4,2,2,8,Potential Loyalists,Low
12453,134,1,707.0899955630304,2,1,3,6,Lost Customers,Medium
12454,56,1,3528.3399696350093,3,1,5,9,Need Attention,Low
12455,73,6,2466.859993934632,2,4,5,11,Need Attention,Low
12456,44,3,3181.039990365505,3,3,5,11,Need Attention,Low
12457,66,7,2363.2299833297743,3,5,5,13,Need Attention,Low
12458,71,2,947.3999980688094,3,2,4,9,Need Attention,Low
12461,94,2,826.8799916505812,2,2,3,7,Need Attention,Medium
12462,19,2,1189.5899939537048,4,2,4,10,Potential Loyalists,Low
12463,53,4,1344.7800008058548,3,4,4,11,Need Attention,Low
12464,10,8,1212.0499949455257,5,5,4,14,Champions,Low
12465,17,2,742.1900011301041,4,2,3,9,Potential Loyalists,Low
12468,188,2,729.5400027036666,1,2,3,6,Lost Customers,High
12471,2,30,19788.64990541339,5,5,5,15,Champions,Low
12472,32,7,6572.1099817454815,4,5,5,14,Champions,Low
12473,29,5,3928.050024002791,4,4,5,13,Need Attention,Low
12474,17,18,7324.089998692274,4,5,5,14,Champions,Low
12475,54,1,723.3799969255922,3,1,3,7,Lost Customers,Low
12476,16,11,6816.419973015784,4,5,5,14,Champions,Low
12477,23,6,13219.739899992941,4,4,5,13,Champions,Low
12478,4,1,680.9899959564207,5,1,3,9,Potential Loyalists,Low
12479,11,1,527.1999993324279,5,1,3,9,Potential Loyalists,Low
12480,28,4,3281.6299936249848,4,4,5,13,Need Attention,Low
12481,23,10,5579.819993644954,4,5,5,14,Champions,Low
12483,17,8,2484.9799785614014,4,5,5,14,Champions,Low
12484,33,6,4527.319974541664,4,4,5,13,Need Attention,Low
12488,10,3,1298.6600008010864,5,3,4,12,Potential Loyalists,Low
12489,336,1,334.92999362945557,1,1,2,4,Lost Customers,High
12490,5,10,5417.9299639463425,5,5,5,15,Champions,Low
12491,39,1,460.3999989032744,3,1,2,6,Potential Loyalists,Low
12492,63,2,263.20999971032154,3,2,2,7,Lost Customers,Low
12493,166,2,433.739994049072,2,2,2,6,Lost Customers,Medium
12494,16,7,1246.0999914407728,4,5,4,13,Need Attention,Low
12497,82,1,1043.0999949872494,2,1,4,7,Lost Customers,Low
12498,21,3,403.69999837875355,4,3,2,9,Potential Loyalists,Low
12500,23,11,4257.819886207581,4,5,5,14,Champions,Low
12501,337,1,2169.3899832665925,1,1,5,7,Lost Customers,High
12502,96,5,3723.8699840307236,2,4,5,11,Need Attention,Medium
12504,18,2,482.04999732971226,4,2,2,8,Potential Loyalists,Low
